use,scope,title_de,title_en,text_de,text_en,year,value,source,url
1,eu,Olympia 2024 in Paris,Paris 2024 Olympic games,Das gesamte Budget Frankreichs für die Olympischen Spiele in Paris 2024.,Total budget planned by France for Paris 2024 Olympic Games. ,2024,6.8,Le Monde,https://www.lemonde.fr/politique/article/2018/06/14/le-budget-des-jeux-olympiques-2024-officiellement-revisite_5315187_823448.html
1,eu,Deutsche Beteiligung am EU-Budget,German contribution to the EU budget,Die finanziellen Beiträge der Mitgliedstaaten zum EU-Haushalt orientieren sich an der Größe der Volkswirtschaften. Der gesamte deutsche Beitrag zum EU-Haushalt belief sich 2017 auf 19.6 Mrd. Euro.,"Member countries' financial contributions to the EU budget are shared fairly, according to means. In 2017, the total German contribution to the EU budget was 19.6 billion Euro.",2017,19.6,,https://europa.eu/european-union/about-eu/countries/member-countries/germany_en
1,eu,Grundsicherung von Arbeitssuchenden in Deutschland,Unemployement benefits in Germany,Das deutsche Budget der Grundsicherung für Arbeitssuchende beläuft sich für 2019 auf 20.6 Milliarden Euro.,The german budget of basic security for job seekers (federal budget / tax revenue) is 20.6 billion euros for 2019.,2019,20.6,,https://www.arbeitsagentur.de/en/press/en-2018-35-the-year-of-opportunities-for-the-unemployed-and-contributors
1,eu,Brexit-Kosten,Brexit costs,Insgesamt hat das britische Finanzministerium seit 2016 4.2 Mrd. £ für die Vorbereitung des Brexit bereitgestellt. Die Summe bezieht sich auf die bis 2020 kalkulierten Ausgaben.,In total the Treasury has allocated £4.2 billion towards government departments for Brexit preparations since 2016. The sum refers to the expenditure calculated until 2020.,2019,4.8,,https://fullfact.org/europe/whats-cost-preparing-brexit/
1,eu,Umwelt-Projekte der EU-Bank,environment-projects of the EU bank,"2018 beteiligte sich die EU-Bank mit 15,15 Milliarden Euro an Projekten zum Schutz von Natur und Umwelt. Die Themen reichten von Biodiversität, reiner Luft und sauberem Wasser über nachhaltigen Verkehr bis hin zu erneuerbaren Energien und Energieeffizienz.","In 2018, the EU bank financed 15.15 billion Euro in projects for natural and human environment, which includes biodiversity, clear air, clean water, sustainable transport, renewable energy and energy efficiency.",2018,15.15,,https://www.eib.org/en/projects/priorities/climate-and-environment/index.htm
1,eu,Jährliches Spendenaufkommen in Frankreich,Total amount of donations in France,"2018 haben die Franzosen 7,5 Milliarden Euro gespendet.","In 2018, the total amount of all the donations in France was  € 7.5 billion",2018,7.5,,https://www.fondationdefrance.org/sites/default/files/atoms/files/rapport_generosite4.pdf
1,eu,Haushaltsdefizit Italien,Italy's government gross debt,,,2018,37.5,,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=de&pcode=tec00127&plugin=1
1,eu,Haushaltsdefizit Spanien,Spain's government gross debt,,,2018,30,,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=de&pcode=tec00127&plugin=1
1,eu,Netflix Jahresumsatz,Netflix annual turnover ,,,2018,15.8,,https://www.finanzen.net/bilanz_guv/Netflix
1,eu,Deutsche Bank Jahresumsatz,Deutsche Bank annual turnover,,,2018,25.32,,https://www.db.com/ir/de/download/Deutsche_Bank_Geschaeftsbericht_2018.pdf
1,eu,EU-Beschäftigungsinitiative für junge Menschen,Youth Employment Initiative,"Inititative zur Bekämpfung von Jugendarbeitslosigkeit in Europa, Finanzierung für 2014-2020.","Initiative to combat youth unemployment, funding for 2014-2020.",,8.8,,https://ec.europa.eu/social/main.jsp?catId=1176
1,eu,Erasmus-Budget,Erasmus-Budget,Finanzierung für 2014-2020,Funding for 2014-2020,,13.1,,https://ec.europa.eu/programmes/erasmus-plus/about/key-figures_en
1,eu,Notre-Dame Spenden,Donation to rebuild Notre-Dame,Die Spenden für den Wiederaufbau von Notre-Dame werden vorerst auf 1 Milliarde geschätzt.,The donations to rebuild Notre-Dame are estimated to 1 billion for now.,,1,,https://www.lci.fr/population/trop-d-argent-pour-notre-dame-de-paris-pour-stephane-bern-c-est-impossible-de-faire-un-devis-pour-le-moment-2119194.html
1,eu,Drogengeschäfte in Europa,European drug business,Wert gehandelter illegaler Drogen in der EU,Total revenue of traded illegal drugs,2013,24,,https://www.dbdd.de/fileadmin/user_upload_dbdd/05_Publikationen/PDFs/EDR-2017_DE.pdf
1,eu,Geschätze Einnahmen der UEFA Champions League,Estimated revenue of the UEFA Champions League,"Geschätze Bruttoeinnahmen aus der UEFA Champions League 2018/19, der UEFA Europa League 2018/19 und dem UEFA-Superpokal 2018","Estimated revenue of the UEFA Champions League 2018/19, the UEFA Europa League 2018/19 und the UEFA super cup 2018",2018,3.25,,https://de.uefa.com/uefachampionsleague/news/newsid=2562558.html
1,eu,Windparks in Europa,Wind energy in Europe,Investitionen in europäische Windparks,Wind power installations,2018,26.7,,https://windeurope.org/wp-content/uploads/files/about-wind/statistics/WindEurope-Annual-Statistics-2018.pdf
1,de,Entwicklungshilfe,,Der Etat des Bundesministeriums für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ).,,2019,10.2,,https://www.bmz.de/de/ministerium/zahlen_fakten/haushalt/index.html
1,de,Kita-Bedarf,,"Kita-Ausbau und Beitragsfreiheit, jährlicher geschätzter Bedarf.",,2018,15.3,,https://www.bertelsmann-stiftung.de/de/themen/aktuelle-meldungen/2018/mai/mehr-kita-qualitaet-und-beitragsfreiheit-kosten-jaehrlich-15-milliarden-euro/
1,de,Grundrente,,"Konzept nach Arbeitsminister Heil, jährliche Kosten ohne Bedürftigkeitsprüfung.",,,5,,https://www.spiegel.de/wirtschaft/soziales/rente-hubertus-heil-verteidigt-grundrente-ohne-beduerftigkeitspruefung-a-1252976.html
1,de,Kostenloser Nahverkehr,,Jährliche bundesweite Einnahmen aus dem Ticketverkauf.,,2018,13,,https://www.dstgb.de/dstgb/Homepage/Aktuelles/2018%20-%202019/%C3%96PNV%3A%20Qualit%C3%A4t%20vor%20Kostenfreiheit/
1,de,Digitalpakt Schule,,"Bund und Länder stellen über einen Zeitraum von fünf Jahren insgesamt mindestens 5,5 Milliarden Euro bereit. ",,,5.5,,https://www.bmbf.de/de/wissenswertes-zum-digitalpakt-schule-6496.html
1,de,BAföG-Ausgaben,,Die Ausgaben des Bundes zur Finanzierung der Leistungen nach dem BAföG in 2017.,,2017,2.9,,https://www.destatis.de/DE/Presse/Pressemitteilungen/2018/08/PD18_284_214.html
1,de,Grundsicherung von Arbeitssuchenden,,Das deutsche Budget der Grundsicherung für Arbeitssuchende beläuft sich für 2019 auf 20.6 Milliarden Euro.,,2019,20.6,,https://www.arbeitsagentur.de/en/press/en-2018-35-the-year-of-opportunities-for-the-unemployed-and-contributors
1,de,Elterngeld,,Geplante Ausgaben des Bundes für 2018.,,2018,6.7,,https://www.bundeshaushalt.de/fileadmin/de.bundeshaushalt/content_de/dokumente/2018/soll/epl17.pdf
1,de,Sanierungsbedürftige Brücken ,,"Abschätzung des Finanzierungsbedarfs der als ""vorrangig zu untersuchenden"" Bauwerke.",,2014,16.4,,https://www.bmvi.de/SharedDocs/DE/Anlage/VerkehrUndMobilitaet/Strasse/sonderprogramm%20brueckenmodernisierung%20bericht%20ertuechtigung.pdf?__blob=publicationFile
1,de,Sozialer Wohnungsbau,,"Nötige Investitionen des Staates, um den jährlichen Bedarf von mindestens 400.000 Wohnungen zu erfüllen.",,2015,6.4,,https://www.impulse-fuer-den-wohnungsbau.de/fileadmin/images/Studien/kurzstudie-400000-wohnungen/kurzstudie-sozialer-wohnungsbau-und-wohnungsbedarf.pdf
1,de,Bau des BER-Flughafens,,Kalkulierte Kosten bis 2025,,2018,6.5,,https://www.tagesspiegel.de/berlin/finanzierung-des-hauptstadtflughafens-daldrup-will-bis-2020-ohne-neue-oeffentliche-zahlungen-auskommen/20999410.html